target_va,name,source
0x14041f2e0,BSResource2::CacheType_BSResource2::TEntryType_0_CellRefDB::DBTraits_BSResource2::DBDefaultStreamPolicy::1024_::Func1,byte-sig:masked48
0x14041f550,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_96::::Func2,byte-sig:exact32
0x14042ed40,BSTVSOTree_detail::TObjectWrapper_BSComponentDB2::Detail::StoredComponent_1_BGSAttachParentArray::::Func2,byte-sig:masked48
0x140441350,InventoryDataModelNS::InventoryItem::Func3,bsim:sim=0.4010
0x1404431d0,BSRandom::Int,bsim:sim=0.6923
0x14044c120,RE::BGSPropertySheet::Unk_06,byte-sig:exact32
0x14044e030,AutoRegisterFormFactoryComponent_BGSSpacePhysicsFormComponent_DefaultFormComponentMoverPolicy::_ReserveType::Func1,byte-sig:masked48
0x1404505d0,AutoRegisterFormFactoryComponent_BGSSpaceshipWeaponBinding_DefaultFormComponentMoverPolicy::_ReserveType::Func1,byte-sig:masked48
0x140466000,AnimationGraphData::WeightedClipData::WeightedClipData,bsim:sim=0.4804
0x140469970,RuntimeComponentDBFactory::RuntimeComponentFactoryRegisterImpl_0_LightAttachmentRuntimeComponent_LightAttachmentFormComponent_RuntimeComponentDBFactory::RegisterForSet3dPolicy_0::LightAttachmentRuntimeComponentCreationPolicy_1_::Func4,byte-sig:exact32
0x140469f70,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_64::::Func2,byte-sig:exact32
0x140474510,RE::BSGalaxy::BGSStar::Unk_11,byte-sig:exact32
0x140476ec0,BSComponentDB2::Detail::CreateAndDeleteCommand::lambda_5b43be6c455a2a51dd9a7269a00079ca::BSComponentDB2::ID_::Func2,byte-sig:masked48
0x140476ed0,BSComponentDB2::Detail::CreateAndDeleteCommand::lambda_8556c71063c67d4d750c8b90344839b3::BSComponentDB2::ID_::Func2,byte-sig:masked48
0x14047cbc0,BSService::Detail::TCmd::lambda_40e6f3a5d7629908c83c6f08be99d02f::BSComponentDB2::ID_::Func2,bsim:sim=0.4207
0x14047e480,BGSMotorAction::FanMotor::Func3,byte-sig:masked48
0x14047eb50,hknpVehicleInstance::Func4,byte-sig:exact32
0x140480a20,Umbra::ImpShadowCuller::getBuffer,bsim:sim=0.4472
0x140481740,PenetrationRecoveryUtils::hknpBSIgnoreBodyCollisionFilter::Func7,bsim:sim=0.4346
0x1404a81f0,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_32::::Func2,byte-sig:exact32
0x1404a84b0,NiMatrix3::Inverse,bsim:sim=0.4015
0x1404ab420,sprintf,bsim:sim=0.5333
0x1404b1b60,BSService::Detail::TCmd::lambda_8ee4e7f008ac2c028083a0610ed33295::void_::Func2,byte-sig:exact32
0x1404bd310,BSService::Detail::TCmd::lambda_2c72c11eca91ff181a95975869a22a8b::void_::Func2,byte-sig:exact32
0x1404bd340,BSService::Detail::TCmd::lambda_fca09c0543155e7882b2f46aec0ed67b::void_::Func2,byte-sig:exact32
0x1404c1750,BSService::Detail::TCmd::lambda_1906ed046289e1d0042657dc28968e4a::void_::Func2,byte-sig:exact32
0x1404c4f30,SpaceshipEditor::ModuleModeState_Selection::Func2,byte-sig:exact32
0x1404c72a0,SpaceshipEditor::Spaceship3DManager::Func1,byte-sig:masked48
0x1404d7350,TUIDataToFlash_SpaceshipEditor::ShipStats_DS_::Func1,byte-sig:masked48
0x1404ddc60,BSService::Detail::TCmd::lambda_3b6c7671eeb5b5acc5b4e8b65342012d::void_::Func1,byte-sig:masked48
0x1404ea900,TUIDataToFlash_TestMenu::TestFlushData_::Func1,byte-sig:exact32
0x1404ee910,BSService::Detail::TCmd::lambda_deac8d8ca2f9b6e7fd011bb91be0cd38::void_::Func2,byte-sig:exact32
0x1404fa2e0,IngredientItem::Func158_v9,byte-sig:exact32
0x1404ff5b0,BSService::Detail::TCmd::lambda_d6bfb1685d09d6b78624d65c22213c9a::void_::Func1,byte-sig:masked48
0x140500690,Concurrency::details::ResourceManager::AffinityRestriction::`scalar_deleting_destructor',byte-sig:masked48
0x140542610,"FID_conflict:~vector<struct_CHN*___ptr64,class_std::allocator<struct_CHN*___ptr64>_>",byte-sig:exact32
0x140544670,BSService::Detail::TCmd::lambda_25fd4484c9f270c6cddcb4c3b8a1e1dc::void_::Func1,byte-sig:masked48
0x140544700,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_63c953e8e3a7b8894b9560901875922d::BSContainer::ForEachResult_BGSRefAliasInstanceDataconst_::Func3,byte-sig:masked48
0x140545970,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,bsim:sim=0.4178
0x1405461f0,REFR_LOCK::GetLockLevel,byte-sig:masked48
0x140546260,REFR_LOCK::IsBroken,bsim:sim=0.4545
0x14054af30,CombatSortedInventoryItemArray::InsertItem,bsim:sim=0.4045
0x14054d1c0,ExtraLightBarndoorData::Func7,byte-sig:exact32
0x14054d1f0,ExtraLightRoundnessData::Func7,byte-sig:exact32
0x1405552a0,ExtraConstrainedDecalData::Func7,byte-sig:exact32
0x1405552d0,ExtraRangedDistOverride::Func7,byte-sig:exact32
0x1405580a0,ExtraAnimGraphPreload::Func7_v2,byte-sig:exact32
0x140559050,InventoryDataModelNS::InventoryItem::Func3,bsim:sim=0.4967
0x14055fb80,"FindFirstGreaterEqualSorted<BSFixedString,int_",bsim:sim=0.5361
0x140561af0,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_144::::Func2,byte-sig:exact32
0x140561b40,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_112::::Func2,byte-sig:exact32
0x140564950,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_a73fd8cfe890fc485eb57cc2880636fd::_BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:exact32
0x140564970,stl::local_function_detail::LocalFunctionImpl::lambda_24b3b63f4c0928bfe784f3ce19d9a5f6::BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:masked48
0x14056a960,QueuedReferenceCallbackNode::Func2,byte-sig:exact32
0x14056e520,CombatBehaviorTreeFlankingMovement::Func1,byte-sig:exact32
0x1405736c0,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_121d62fa4df6b9a7959e69dc1c3b63f9::void_::Func3,byte-sig:masked48
0x140586f80,GridCellArray::Func1,byte-sig:exact32
0x140589920,NiColorExtraData::Func1,byte-sig:masked48
0x140589a50,TES::FilterRefsByRadius::_FilterReferencesForAllKeywordsOfSet::_FindClosestReference::::Func2,byte-sig:exact32
0x140589e90,stl::local_function_detail::LocalFunctionImpl::lambda_dbf517e9e15d405001673e53c57886ea::BSContainer::ForEachResult_BSResource2::DBHandle_BSResource2::TEntryTraits_0_LoadedCellDB::DBTraits_BSResource2::DBDefaultStreamPolicy::const_::Func2,byte-sig:masked48
0x140589ed0,FunctorCellVisitor::lambda_5dd8442d257de78f148c881843556078::::Func2,byte-sig:exact32
0x14058d7f0,BSJobs2::Detail::TNodeJob::lambda_0f1e00cd8fe7af873fa0f650aa10e7e8_const_BSResource2::DBHandle_BSResource2::TEntryTraits_0_LoadedCellDB::DBTraits_BSResource2::DBDefaultStreamPolicy::_RunAnimationsParams_::Func1,byte-sig:exact32
0x1405b23b0,FunctorCellVisitor::lambda_1f217d93f16066b532bf445c15346a90::::Func2,byte-sig:masked48
0x1405b23f0,FunctorCellVisitor::lambda_4dbe805b39b2900592f89416cc644578::::Func2,byte-sig:masked48
0x1405ba310,TESFile::GetTempIDCanLoadFromFile,bsim:sim=0.4310
0x1405c35d0,BGSDestructibleObjectForm::SpawnDebrisAtDebrisNodes,bsim:sim=0.4030
0x1405c9a50,RE::BGSAddonNode::GetFormEditorID,byte-sig:exact32
0x1405cefa0,AutoRegisterFormFactoryComponent_BGSWorldSpaceOverlayComponent_DefaultFormComponentMoverPolicy_::Func12,byte-sig:exact32
0x1405d7600,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_1024::::Func2,byte-sig:exact32
0x1405db8e0,TESForm::CanBePutInContainer,bsim:sim=0.4879
