target_va,name
0x1403ec080,BGSSpatialSparseGridSearch_BGSSpatialGridSearchUtilitiesInternal__GridSearchPolicyWrapper_BGSSpatialGridSearchPolicies__StandardSearchPolicy_BSPathingRequestPolicies__EscortRequest___BGSSpatialGridSearchUtilitiesInternal__GetSparseMultiLayerGridChunkDataFunctor_::Func1
0x1403ec5d0,TESQuest::Unk_0A
0x1403ec640,__QuestRefDuplicateWatcher::Func2
0x1403ec730,TESQuest::GetFormDetailedString
0x1403ecd40,BSTEventSource_TESQuestEvent__Event_::Func1
0x1403ecd80,__QuestRefDuplicateWatcher::Func1
0x1403ecdc0,BSTEventSource_QuestStatus__Event_::Func1
0x1403ece00,TESQuest::LoadGame
0x1403efcb0,TESRace::Unk_07
0x1403efd20,TESRace::Unk_0F
0x1403efd70,TESRace::ClearDataComponent
0x1403efe80,BGSTextureModel::InitializeDataComponent
0x1403eff00,BGSTextureModel::Unk_06
0x1403f0020,TESRace::Unk_13
0x1403f02a0,BGSTextureModel::Unk_0A
0x1403f02f0,TESRace::Unk_28
0x1403f04e0,TESRace::Unk_29
0x1403f2320,TESRace::Unk_61
0x1403f2390,TESRace::Unk_57
0x1403f5ee0,TESRace::Copy
0x1403f5f80,TESRace::GetFormEditorID
0x1403f8840,TESRace::Unk_42
0x1403f8dc0,TESRace::Unk_3C
0x1403f8f00,TESRace::Unk_38
0x1403f8f50,TESRace::SetAltered
0x1403f9210,TESRace::Func1_v2
0x1403fea00,BSSequence::ScaleTrack::Func4
0x1404001d0,NiQuaternion::operator__
0x140401490,BSResource::EntryDBTraits<BSModelDB::DBTraits_BSResource::EntryDB<BSModelDB::DBTraits>>::CArgs::CArgs
0x1404079d0,BSRandom::Float0To1
0x140413d20,BSFaceDB::CreateHeadControlNode::Func1
0x1404156f0,TESTopic::Func1_v3
0x1404160a0,TESTopic::Func1_v2
0x1404163e0,BSFaceDB::ReplaceHeadPartControlNode::Func1
0x140417650,TESTopic::Func1
0x14041ee50,TargetEntry::Func3
0x14041f2a0,ZoneEntry::Func1
0x14041f2e0,TargetEntry::Func1
0x14041f390,BGSZoneTargetListener::Func1
0x14041f550,__PAFinder::Func1
0x14041f5a0,HavokFileStreambufWriter::Func2
0x14041fb10,RagdollFurnitureModifier::Func1
