target_va,name,source_exe,similarity,overlap
0x140b667d0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4133,73
0x140b76ab0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4757,73
0x140b7f470,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4747,74
0x140b8f5b0,_Pop_heap_hole_by_index<>,SkyrimAE_1_6_1170.exe,0.4262,35
0x140b9db40,TESObjectREFR::SetFirstFreeMarkerReserved,Fallout4_OG_1_10_163.exe,0.5000,11
0x140ba07d0,Actor::Resurrect,Fallout4 AE.exe,0.5385,7
0x140bbe0b0,BGSNavigationGridManager::Func2_v5,Starfield.exe,0.4297,12
0x140c1c990,TESImageSpaceModifier::GetExplosionInFace,Fallout4_OG_1_10_163.exe,0.4545,5
0x140c94d90,BGSEntryPoint::HandleEntryPoint,Starfield.exe,0.6000,3
0x140cb1300,RE::BGSScene::InitializeDataComponent,Starfield.exe,0.4239,33
0x140cb8b90,BSResource::Server::SimpleServerDetails::FunctorNode_BSProcGen::Resources::lambda_37d97d1c066546897543d0f2cfc393d2::BSResource2::DBHandle_BSResource2::TEntryTraits_0_BGSPlanet::ProcGenLayersDB::DBTraits_BSResource2::DBDefaultStreamPolicy::_std::vector_BSResource2::DBHandleBase_BSTHeapSTLAllocator_BSResource2::DBHandleBase_2::_BSResource::Server::SimpleServerDetails::ScopedResourceTracking_BSProcGen::Resources::::Func3,Starfield.exe,0.4082,2
0x140ccd290,TESIdleManager::GetIdleAnimRoot,Fallout4_OG_1_10_163.exe,0.5526,21
0x140cce000,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4506,73
0x140cce960,ConditionItemIsTrueForActivateObjectCheck::operator,Fallout4_OG_1_10_163.exe,0.5122,42
0x140cd1140,BGSCombinedCellGeometryDB::CDX::Pager::Pager,Fallout4_OG_1_10_163.exe,0.6667,2
0x140d0e1f0,TESQuest::SetStage,Fallout4 AE.exe,0.4416,32
0x140d4a010,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4917,74
0x140d54f50,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,Starfield.exe,0.4226,19
0x140d6cee0,GetTimes,Fallout4_OG_1_10_163.exe,0.5859,29
0x140e10d40,BSAngleWrapAndAbs,Fallout4_OG_1_10_163.exe,0.4454,10
0x140e49010,TESParameters::Copy,Fallout4 AE.exe,0.4734,39
0x140ec0820,Actor::ForceMovementControllerToNotHigh,Fallout4_OG_1_10_163.exe,0.6667,2
0x140f09a20,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4718,74
0x140f0a100,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4200,74
0x140f0c740,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4121,74
0x140f1e730,BGSSpatialGridSearchBase_BGSSpatialGridSearchUtilitiesInternal::GridSearchPolicyWrapperDirect::_SearchPolicyStandard::::Func3,Starfield.exe,0.4791,86
0x140f1f210,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4074,73
